Time of immersion (hours);Frequency (Hz);Zre (ohms);Zim (ohms);Sample
24;15848,931640625;76,5767262833287;-1,47142064246734;LDH-M2-6-18h-DS
24;12589,25390625;76,6725090434298;-1,54884667989118;LDH-M2-6-18h-DS
24;10000;76,774025318608;-1,73010274954476;LDH-M2-6-18h-DS
24;7943,2822265625;76,9307041637183;-1,9418962994518;LDH-M2-6-18h-DS
24;6309,5732421875;76,9552965468157;-2,19783746637098;LDH-M2-6-18h-DS
24;5011,87255859375;77,0393284279004;-2,56747522129888;LDH-M2-6-18h-DS
24;3981,07177734375;77,2384826793533;-3,0463494329298;LDH-M2-6-18h-DS
24;3162,27758789063;77,4434627196719;-3,57750602012808;LDH-M2-6-18h-DS
24;2511,88647460938;77,6557640246979;-4,28497063978131;LDH-M2-6-18h-DS
24;1995,26232910156;77,8755665405264;-5,02455967465075;LDH-M2-6-18h-DS
24;1584,89318847656;78,222119277556;-6,07236860886641;LDH-M2-6-18h-DS
24;1258,92541503906;78,6389181302271;-7,28480414156646;LDH-M2-6-18h-DS
24;1000;79,0184786098029;-8,69331984768525;LDH-M2-6-18h-DS
24;794,328247070313;79,4818548839447;-10,3865925753894;LDH-M2-6-18h-DS
24;630,957336425781;80,1371070969057;-12,696370765317;LDH-M2-6-18h-DS
24;501,187225341797;80,8741528680184;-15,1545480091532;LDH-M2-6-18h-DS
24;398,107177734375;81,7802517700407;-18,3408504388706;LDH-M2-6-18h-DS
24;316,227752685547;82,9268619093808;-22,3822965028307;LDH-M2-6-18h-DS
24;251,18864440918;84,0307707906641;-26,7267743668395;LDH-M2-6-18h-DS
24;199,526229858398;85,7983853041737;-32,7341081867922;LDH-M2-6-18h-DS
24;158,489318847656;87,9869614756523;-39,8415851384702;LDH-M2-6-18h-DS
24;125,892539978027;90,4390308893547;-47,8613771685813;LDH-M2-6-18h-DS
24;100;93,9439404746758;-58,1522774089859;LDH-M2-6-18h-DS
24;79,4328231811523;98,4205067797299;-70,5820469324668;LDH-M2-6-18h-DS
24;63,0957336425781;103,85565465738;-84,2133408333593;LDH-M2-6-18h-DS
24;50,118724822998;111,348834881835;-101,585649341907;LDH-M2-6-18h-DS
24;39,810718536377;121,948622589847;-123,036377972541;LDH-M2-6-18h-DS
24;31,6227760314941;133,909102416026;-145,012073485605;LDH-M2-6-18h-DS
24;25,1188640594482;150,749740558729;-172,222994203122;LDH-M2-6-18h-DS
24;19,9526233673096;173,471655173886;-204,075175389885;LDH-M2-6-18h-DS
24;15,8489322662354;198,545172874459;-234,818244197295;LDH-M2-6-18h-DS
24;12,5892543792725;232,156294108409;-270,545116595063;LDH-M2-6-18h-DS
24;10;270,386823545435;-306,535171766765;LDH-M2-6-18h-DS
24;7,94328212738037;315,881769466622;-343,54973163117;LDH-M2-6-18h-DS
24;6,30957365036011;367,253711825521;-380,816726983562;LDH-M2-6-18h-DS
24;5,01187229156494;424,010702360839;-418,061610176641;LDH-M2-6-18h-DS
24;3,98107171058655;485,838628937761;-456,443406064916;LDH-M2-6-18h-DS
24;3,16227769851685;551,95287782387;-495,409569905485;LDH-M2-6-18h-DS
24;2,51188635826111;622,42950527101;-535,608301037275;LDH-M2-6-18h-DS
24;1,99526226520538;697,125164391345;-577,266949213519;LDH-M2-6-18h-DS
24;1,58489322662354;776,498804569972;-623,132505630151;LDH-M2-6-18h-DS
24;1,25892543792725;861,672204568169;-673,368376692079;LDH-M2-6-18h-DS
